subject,kernel,r_s,balanced_hit_seed_mean,raw_hit_seed_mean,auc_seed_mean
P3Numbers_20141124_m_15_001,33,10,1.0,1.0,0.687878787878788
P3Numbers_20141124_m_17_001,33,18,0.0,0.0,0.6608108108108107
P3Numbers_20141204_f_10_001,33,28,1.0,1.0,0.7106056900627701
P3Numbers_20141204_f_11_001,33,9,1.0,1.0,0.856516290726817
P3Numbers_20141204_f_11_002,33,21,1.0,1.0,0.6878306878306879
P3Numbers_20141204_f_11_003,33,11,0.0,0.6666666666666666,0.681098696461825
P3Numbers_20141204_f_11_004,33,12,1.0,0.3333333333333333,0.6686764283663509
P3Numbers_20141204_f_11_005,33,28,0.0,0.0,0.5509757068896853
P3Numbers_20141204_f_11_006,33,18,1.0,0.0,0.6153198653198654
P3Numbers_20141204_f_12_001,33,20,0.6666666666666666,0.3333333333333333,0.578875760830648
P3Numbers_20141204_f_12_002,33,17,0.6666666666666666,1.0,0.7396836120024771
P3Numbers_20141204_f_12_003,33,19,0.0,0.3333333333333333,0.5879493062383917
P3Numbers_20141204_f_13_001,33,14,1.0,1.0,0.8388573232323232
P3Numbers_20141204_f_13_002,33,14,0.0,0.0,0.5853591160220994
P3Numbers_20141204_f_14_001,33,25,0.3333333333333333,1.0,0.6531884707287933
P3Numbers_20141204_f_14_002,33,12,1.0,1.0,0.7687074829931974
P3Numbers_20141204_f_15_001,33,4,0.3333333333333333,0.0,0.5777777777777778
P3Numbers_20141204_m_08_001,33,21,0.0,0.0,0.5021114864864864
P3Numbers_20141204_m_11_001,33,34,0.3333333333333333,0.0,0.5546925001454587
P3Numbers_20141204_m_11_002,33,15,0.3333333333333333,0.3333333333333333,0.49610757254069354
P3Numbers_20141204_m_12_001,33,3,0.0,0.6666666666666666,0.6448643410852714
P3Numbers_20141204_m_12_002,33,4,1.0,1.0,0.9313131313131313
P3Numbers_20141204_m_13_001,33,18,1.0,1.0,0.6707375478927203
P3Numbers_20141204_m_14_001,33,20,0.0,0.0,0.5158730158730158
P3Numbers_20141204_m_14_002,33,25,1.0,0.6666666666666666,0.683076225045372
P3Numbers_20150107_f_13_001,33,20,0.6666666666666666,0.0,0.7775409680780525
P3Numbers_20150107_f_14_001,33,16,1.0,1.0,0.8394698085419735
P3Numbers_20150107_f_14_003,33,9,1.0,1.0,0.9261951971799954
P3Numbers_20150107_f_14_004,33,9,1.0,1.0,0.7128378378378378
P3Numbers_20150107_f_14_005,33,12,1.0,1.0,0.6487232574189096
P3Numbers_20150107_f_14_006,33,20,0.0,0.0,0.41020408163265304
P3Numbers_20150107_f_14_007,33,9,1.0,1.0,0.750278706800446
P3Numbers_20150107_f_15_001,33,14,0.6666666666666666,0.6666666666666666,0.7242857142857142
